Unnamed: 0	Mô tả hàng hóa	Mã HS
	Mẫu yêu cầu phân tích là tinh quặng sắt đã trải qua quá trình nung kết, thành phần chính là magnetit (90%), phi quặng (5%),...	26011290
	Chế phẩm dùng trong sản xuất mực in có chứa este phosphat hữu cơ, silic dioxit và phụ gia	38249999
	Thép không hợp kim (hàm lượng C < 0,6% tính theo trọng lượng), dạng thanh, mặt cắt ngang hình tròn, gia công kết thúc nguội, đường kính ø 18mm, thành phần hóa học và cơ tính của mẫu phù hợp theo Quy chuẩn kỹ thuật quốc gia về thép làm cốt bê tông QCVN 7:2011/BKHCN	72155091
	Chế phẩm hóa học có thành phần chứa khoáng vô cơ, chất hoạt động bề mặt, dung môi hữu cơ dùng làm phụ gia mực in	38249999
	Sản phẩm đi từ polydimethylsiloxane, loại xốp chưa được gia cố, chưa được gắn lớp mặt, chưa được bổ trợ hay kết hợp vật liệu khác có kích thước: chiều rộng 25 mm, chiều dày 6,5mm, màu đen	39211999
	"Hỗn hợp có thành phần chính là niken florua ngậm nước, đường khử và phụ gia, dạng bột.	"	38249999
	Cuộn nhựa plastic đi từ polyvinyl chlorua và polypropylen (chiếm ≈ 10%), không tự dính, không xốp, chưa gia cố, chưa kết hợp với vật liệu khác, hàm lượng hóa dẻo dưới 6%, đã in hình con vật hoạt hình	39204900
	"Chế phẩm hóa học có chứa natri clorua, canxi cacbonat và phụ gia, dạng bột	"	38249999
	Hỗn hợp dung môi hydrocarbon thuộc phân đoạn dầu nhẹ, thành phần hydrocarbon từ C6 – C10, điểm sôi đầu IBP ở 62oC, 97% thể tích ở nhiệt độ 96oC, dạng lỏng	27101270
	"Chế phẩm hóa chất có thành phần chính là sắt oxit, copolyme styrene-acrylat và phụ gia, dạng bột, màu đen, thường dùng làm bột từ trong máy photocopy	3824.99.100"	38249999
	Chế phẩm hóa học có thành phần chính là hỗn hợp muối cacbonat, silicat của canxi, sắt, nhôm, dạng bột lẫn hạt	38249999
	Chế phẩm hóa học chứa hợp chất của dimethylpropionamide và phụ gia, dạng lỏng	38249999
	Acid linoleic	29161500
	Silic đioxit phân tán trong môi trường nước	38249999
	Tocopherol acetate (≈ 50%) và silic dioxit, dạng bột	29362800
	Sắt (III) sulphat, dạng bột.	28332990
	Phớt xuyên kim bằng polyeste, một mặt tráng phủ polyurethan, mặt còn lại được gia cố bằng lớp vải không dệt, thành phần vật liệu dệt chiếm tỷ lệ 65,4% và thành phần lớp tráng phủ chiếm tỷ lệ 34,6% theo trọng lượng.	56029000
	Sản phẩm gồm một lớp cao su tổng hợp đã lưu hóa xốp mềm (dày 3,5mm) bề mặt phủ lớp nhựa polyurethane (dày 0,5mm) có in hoa văn trang trí, dạng tấm hình chữ nhật có 4 góc bo tròn kích thước dài x rộng: (185x68)cm, dùng làm thảm tập yoga	40161090
	Xơ vụn từ polyeste, chiều dài xơ không quá 5mm	56013090
	"Chế phẩm hóa học có thành phần chính là hợp chất urea và phụ gia, dạng lỏng, được sử dụng trong hệ thống xử lý khí thải động cơ diesel.	"	38249999
	Vải dệt thoi dệt cải biên từ các sợi có màu khác nhau tạo hoa văn, thành phần tính theo trọng lượng: 72,4% xơ lanh và 25,6% xơ bông, chưa thấm tẩm, bề mặt chưa tráng phủ hay ép lớp với vật liệu khác, trọng lượng 145 g/m2, dạng cuộn khổ lớn hơn 78 cm.	53092900
	Tocopherol trong cyclodextrin (CD), dạng bột	29362800
	Sản phẩm bằng kim loại được dùng để lắp vào bộ vi sai và động cơ bằng bu lông nhằm mục đích cố định và định vị bộ vi sai vào động cơ, loại chỉ dùng cho xe ô tô Mazda New CX-5 2.5L, 2 cầu, số tự động, loại 5 chỗ ngồi.	87089980
	Chế phẩm dùng trong công nghiệp sản xuất mỹ phẩm, thành phần có chứa este của axít béo, dầu từ thực vật, chiết xuất thực vật..., dạng lỏng	38249999
	Isohexadecan (hydrocarbon no, mạch hở)	29011000
	Chế phẩm ức chế ăn mòn bề mặt kim loại có thành phần chính là kẽm phosphate, kẽm oxit và chất nhũ hóa, phân tán trong nước.	38249999
	"Chế phẩm chất ổn định nhựa PVC có thành phần chính là hợp chất thiếc metyl mercaptide trong dung môi hữu cơ, dạng lỏng.	"	38123900
	Chế phẩm có chứa natri sunphat, natri clorua và phụ gia, dạng bột.	38249999
	Chế phẩm hữu cơ chứa polyacrylamide, dẫn xuất lignin và phụ gia trong môi trường nước, dùng để làm mềm da sau khi thuộc.	38249999
	Chế phẩm dùng trong chế biến thực phẩm, dạng lỏng. Thành phần chính là sản phẩm lên men từ nguyên liệu thực phẩm có chứa hương tự nhiên, protein, đường tồn dư, muối kali, natri của acid propionic, acid acetic... Công dụng chính là đẩy mạnh mùi hương lên men cho thực phẩm . Trong điều kiện thích hợp, sản phẩm này có thể được sử dụng như chất bảo quản.	21069099
	Chế phẩm dùng trong thức ăn chăn nuôi có thành phần gồm Vitamin B12 và CaCO3	23099020
	Chế phẩm hóa học có thành phần chính là Canxi sulphat, sắt oxit, dạng viên.	38249999
	Thực phẩm bảo vệ sức khỏe chứa nọc bò cạp xanh  trong dung dịch cồn, hàm lượng cồn lớn hơn 0.5% theo thể tích , đóng lọ dạng nhỏ giọt , dung tích 30ml	22089099
	Sản phẩm dệt, dài 290cm; được tạo bởi: lớp vải dệt kim từ polyester may dạng ống (chiều rộng ống khi ép phẳng 34,5cm), lồng trong là lớp vải không dệt từ polypropylene may dạng ống ( đã được nhồi đầy bằng xơ vụn từ polypropylene), được cố định 2 đầu bởi dây buộc bằng nhựa và kim loại, ở hai vị trí cách hai đầu sản phẩm một khoảng 40cm được gắn móc nối bằng kim loại	63079090
	Chất hoạt động bề mặt anion, thành phần là alpha olefin sulphonate (AOS) dạng bột, chưa đóng gói bán lẻ	34021190
	Vải dệt thoi; dệt từ sợi đơn, không dún, có mầu khác nhau, độ bền tương đối của sợi < 60 cN/tex, thành phần 100% filament polyester; chưa ngâm tẩm hay tráng phủ bề mặt, dạng cuộn, khổ 2,88m	54076190
	Đá granit dạng tấm đã được gia công tạo nhám một mặt, chiều dày 2cm, dùng làm vật liệu trong xây dựng, kích thước là: 30cm x 60cm (theo khai báo Hải quan)	68029390
	Phế liệu magie, dạng phoi của quá trình gia công cơ khí chưa được phân loại theo kích cỡ, hàm lượng Mg ~ 97,31% tính theo trọng lượng	81042000
	Sản phẩm làm bằng thủy tinh, chiều dài 340mm, mặt cắt ngang hình cung tròn, đường kính 70mm, chiều dài dây cung 40mm, dày 2,13mm, bề mặt đã được tráng lớp phản chiếu tia UV, dùng để lắp trong máy in.	70200090
	Sản phẩm làm bằng thủy tinh, chiều dài 585mm, mặt cắt ngang hình cung tròn, đường kính 70mm, chiều dài dây cung 48mm, dày 2,12mm, dùng để lắp trong máy in.	70200090
	Sản phẩm làm bằng thủy tinh, chiều dài 248mm, mặt cắt ngang hình cung tròn, đường kính 70mm, chiều dài dây cung 40mm, dày 2,13mm, bề mặt đã được tráng lớp phản chiếu tia UV, dùng để lắp trong máy in.	70200090
	Mẫu dạng tấm phẳng, màu trắng xám, làm từ xi măng và sợi xenlulo (không chứa amiăng), kích thước thực tế 600x1210x3,5mm, dùng làm vách ngăn.	68118220
	Chế phẩm thực phẩm có thành phần gồm hỗn hợp bột ngũ cốc (yến mạch, lúa mì, ngô) giòn, đã tạo thành dạng mảnh vụn, được phủ socola trắng (không chứa cacao), đã ép thành bành dạng hình tròn, đường kính 4cm, có hạt hạnh nhân ở trên bề mặt, đóng gói bán lẻ 400g/túi	19059090
	Chế phẩm thực phẩm có thành phần gồm hỗn hợp bột ngũ cốc (yến mạch, lúa mì, ngô) giòn, đã tạo thành dạng mảnh vụn, được phủ  cacao sữa có hàm lượng cacao < 6% khối lượng, đã ép thành bành dạng thanh hình chữ nhật 2 x 5 cm, đóng gói bán lẻ 1.000g/túi	19059090
	Chế phẩm thực phẩm có thành phần gồm hỗn hợp bột ngũ cốc (yến mạch, lúa mì, ngô) giòn, đã tạo thành dạng mảnh vụn, được phủ socola trắng (không chứa cacao), đã ép thành bành dạng hình tròn, đường kính 4cm, có hạt nho khô ở trên bề mặt, đóng gói bán lẻ 400g/túi	19059090
	"Chế phẩm hóa học có thành phần chính là hợp chất polyethylene imine và phụ gia, dạng lỏng, dùng để ức chế, ngăn cản sự bay hơi của axit trong quá trình mạ	"	38249999
	Dầu thực vật (Sea buckthorn oil), chỉ số axit ~ 12.5mg KOH/g dầu, dạng viên nang, 1000 viên/túi.	15159091
	Hỗn hợp các đồng phân của terphenyl, terphenyl đã hydrogen hóa và hỗn hợp các hợp chất thơm, dạng lỏng, dùng làm dầu truyền nhiệt	38249999
	"Hỗn hợp của triethanolamine và dẫn xuất của axit cacboxylic, dạng lỏng	"	38249999
	"Lidocaine, dạng tinh thể	"	29242990
	"Nguyên liệu để sản xuất phụ gia khoáng và phụ gia khoáng cho bê tông có thành phần chính là SiO2(92%), ion clo (0,0178), mất khi nung (1,08%) và phụ gia, dạng bột	"	28112210
	Chế phẩm thực phẩm có thành phần gồm hỗn hợp bột ngũ cốc (yến mạch, lúa mì, ngô) giòn, đã tạo thành dạng mảnh vụn, được phủ socola trắng (không chứa cacao), đã ép thành bành dạng thanh hình chữ nhật 2 x 5 cm, đóng gói bán lẻ 1.000g/túi	19059090
	"Chế phẩm hóa học thành phần chứa benzotriazole; propanediol-1,2; dodecanedioic axit..., hòa tan trong môi trường nước.	"	38249999
	"Hỗn hợp các chất vô cơ và hữu cơ, dạng bột, có thành phần chính gồm nhựa phenolic, sợi đồng cắt ngắn, barium sulfate và graphite.	"	38249999
	Chế phẩm thực phẩm có thành phần chính từ nước xốt đậu tương, đường, đạm, muối,...dạng lỏng, đóng gói 300ml/chai, dùng làm nước dùng trong món mỳ Somen	21041099
	N,N-Dimethylformamide (DMF)	29241990
	Hỗn hợp gồm bột gỗ và canxi cacbonate, trong đó hàm lượng canxi cacbonate chiếm 205 tính theo trọng lượng	44050020
	Thuốc thú y chứa kháng sinh Avilamycin, dạng bột, sử dụng đường uống, đóng gói bao 25kg	30032000
	"Chế phẩm hóa học có thành phần chính là sáp của axit béo, các hợp chất hữu cơ và chất độn vô cơ, dạng bột, dùng làm chất làm mờ màng sơn.	"	38249999
	Rotundine, dạng bột.	29397900
	Trimethylborate, dạng lỏng	29209000
	Chế phẩm thực phẩm có thành phần chính là nước xốt đậu tương, đường, đạm, muối,...dạng lỏng, đóng gói 300ml/lọ, dùng để chế biến nước dùng trong món mì Sanuki Udon	21041099
	Chế phẩm thực phẩm có thành phần chính là nước xốt đậu tương, đường, đạm, muối,...dạng lỏng, đóng gói 400ml/lọ, thường dùng để chế biến nước dùng trong các món ăn	21041099
	Chế phẩm thực phẩm có thành phần chính từ nước xốt đậu tương, đường, đạm, muối,...dạng lỏng, đóng gói 300ml/chai, dùng làm nước dùng trong món mỳ Sanuki	21041099
	Thuốc thú y chứa kháng sinh Tilmicosin sử dụng đường uống, đóng gói bán lẻ chai 200ml	30042091
	Dầu hạt lanh đã qua hydro hóa , dạng lỏng , có thành phần axit béo gồm : axit palmatic -7.38 % ) , axit oleic ( 39.06 % ) , axit stearic ( -8.48 % ) , axit linoleic C28.32 % ) và axit linolenic ( -16.75 % ) , trị số axit 0,1mg KOH / g mẫu .	15162044
	Bis ( 1,2,3,6,6 - pentamethyl - 4 piperidyl ) sebacate 	29333990
	Thép hợp kim cán phẳng (hàm lượng Mn ~ 1,70% tính theo trọng lượng), dạng cuộn, cán nguội, dày 1,4 mm, rộng trên 600mm, chưa phủ, mạ hoặc tráng.	72255090
	Thuốc thú y chứa ampicillin , colistin , dexamethasone , sử dụng tiêm bắp hoặc tiêm dưới da . Liều sử dụng : 2 1ml / 10kg thể trọng / ngày . Đóng gói 100ml / chai . Công dụng : trị nhiễm khuẩn đường hô hấp , tiêu hóa , bệnh MMA , bại huyết 	30041019
	"Dung dịch chuẩn Iodide – Iodate 0,05 mol I2/l=1/60 mol KIO3/l	"	38220090
	"Chế phẩm chống cháy, thành phần hỗn hợp của 1.1’ – (Ethane-1, 2 – diyl) bis [pentabromobenzene], Ammonium polyphosphate, dạng bột	"	38249999
	Thép không hợp kim (hàm lượng C ≈ 0,1893% tính theo trọng lượng), dạng thanh, tròn trơn, cán nguội, đường kính 10,2mm, chưa tráng phủ mạ hoặc sơn, thành phần hóa học và cơ tính của mẫu đạt yêu cầu thép cốt bê tông theo Quy chuẩn kỹ thuật quốc gia về thép làm cốt bê tông QCVN 7:2011	72155091
	Thép không hợp kim dạng thanh thẳng, gia công kết thúc nguội, đường kính ø 6.1mm, thành phần hóa học và cơ tính của mẫu phù hợp theo Quy chuẩn kỹ thuật quốc gia về thép làm cốt bê tông QCVN 7:2011/BKHCN	72155091
	Thép không hợp kim ( hàm lượng C<0,6% tính theo trọng lượng, dạng thanh, mặt cắt ngang đông đặc hình tròn, đã được gia công kết thúc nguội, phù hợp làm thép cốt bê tông theo Quy chuẩn kỹ thuật quốc gia về thép làm cốt bê tông QCVN 7:2011 	72155091
	Chế phẩm hóa chất thành phần gồm Ethyl alcohol, Canxi carbonat và phụ gia, dạng lỏng	38249999
	Thuốc thú y thành phần có chứa hoạt chất tylosin , doxycyclin , dạng bột , sử dụng đường uống , đóng gói 1 kg / hộp .	30042071
	"Chế phẩm hoá chất có thành phần là 1,2-Hexanediol, Biosaccharidegum-1, Ethylhexylglycerin trong nước. Dùng trong sản xuất mỹ phẩm.	"	38249999
	"Bột talc được phủ Dimethicone và Triethoxycaprylylsilane.	"	38249999
	"Tris(hydroxymethyl)aminomethane.	"	29221990
	Bis- [ 4- ( 2 - oxo - hexahydro - azepin - 1 carbonylamino ) -phenyl ) -methan ( hợp chất Methylene Diphenyl Diisocyanate đã được khóa nhóm ( -NCO ) bằng hợp chất Caprolactam ) phân tán trong nước	29337900
	Sản phẩm dạng cuộn, khổ 1,25m, dày ≈ 0,18mm, không dính, cấu tạo bởi 3 lớp ép dính với nhau: Lớp thứ nhất là giấy đã được in hoa văn vân gỗ, được thấm tẩm hỗn hợp nhựa có nguồn gốc từ thực vật, chiếm khoảng 47% tổng trọng lượng mẫu; lớp thứ hai là nhựa polyester trong suốt, dày ≈ 0,03mm, chiếm khoảng 19% tổng trọng lượng mẫu; lớp thứ ba là giấy không tráng phủ, đã nhuộm màu toàn bộ, chiếm khoảng 34% tổng trọng lượng mẫu.	48119099
	Chế phẩm có thành phần chứa collagen, natri clorua, nước,.., dạng tiêm, đóng gói 2ml/lọ, 10 lọ/hộp, công dụng: cải thiện khả năng vận động bằng cách hạn chế quá trình thoái hóa sinh lý của mô và khớp do lão hóa hoặc thương tật, ngoài ra còn trị liệu chống lão hóa tại chỗ, giảm nếp nhăn ở mặt và cổ…..	30049099
	Chế phẩm có thành phần chứa collagen, natri clorua, nước,.., dạng tiêm, đóng gói 2ml/lọ, 10 lọ/hộp, công dụng: cải thiện sự vận động của khớp, hỗ trợ chức năng của cơ và giãn cơ, hỗ trợ mô cơ trong rối loạn tư thế xấu, làm dịu đau tại chỗ hoặc đau do nguyên nhân vận động và có thể sử dụng trong trị liệu các bệnh lý đau cơ khác	30049099
	Alionka dạng miếng hình chữ nhật kích thước (45 x 20 x14)mm, mỗi miếng được bao gói bằng 2 lớp giấy, cấu tạo gồm 3 lớp chính: lớp ngoài cùng là lớp socola có màu nâu đậm bao bọc toàn bộ sản phẩm; lớp tiếp theo là bánh xốp màu trắng; lớp trong cùng là lớp socola màu nâu nhạt, đóng gói 250g/túi	18063200
	Chế phẩm có thành phần chứa collagen, natri clorua, nước,.., dạng tiêm, đóng gói 2ml/lọ, 10 lọ/hộp, công dụng: cải thiện sự di chuyển vận động của vùng thắt lưng, giúp giãn cơ vùng thắt lưng cùng của cột sống, giúp hỗ trợ các mô cơ của vùng thắt lưng, làm dịu đau tại chỗ, có thể sử dụng trong trị liệu các bệnh lý về đau vùng thắt lưng	30049099
	"1,3-diallyl-2-thiourea	"	29309090
	Chế phẩm có thành phần chứa collagen, natri clorua, nước,.., dạng tiêm, đóng gói 2ml/lọ, 10 lọ/hộp, công dụng: cải thiện sự vận động của khớp, đặc biệt trong rối loạn tư thế xấu, hạn chế quá trình thoái hóa sinh lý của khớp và mô, có thể sử dụng trong trị liệu các bệnh lý về dây thần kinh	30049099
	Chế phẩm ổn định dùng trong nhựa, thành phần chính là hỗn hợp các dẫn xuất của sebacate (Tinuvin 292), dạng lỏng.	38123900
	Chế phẩm có thành phần chứa collagen, natri clorua, nước,.., dạng tiêm, đóng gói 2ml/lọ, 10 lọ/hộp, công dụng: cải thiện sự vận động của cột sống cổ, giúp giãn cơ cổ, hỗ trợ mô cơ cổ trong rối loạn tư thế xấu, làm dịu đau khi vận động trục cổ và có thể sử dụng trong trị liệu các bệnh lý đau cổ khác	30049099
	"Chế phẩm hóa học có chứa sodium formate và phụ gia; Công dụng: Dùng để xi mạ khuôn đúc nhựa.	"	38249999
	Chế phẩm hóa học có thành phần chính là natri silicat và phụ gia, dạng bột.	38249999
	"Chế phẩm hóa học có chứa sodium hypophosphit và phụ gia; Công dụng: Dùng để xi mạ khuôn đúc nhựa.	"	38249999
	Sản phẩm bằng thép không hợp kim, dạng thanh tròn, đường kính 40mm, chiều dài 3800mm, được tạo ren trên toàn bộ chiều dài, để lắp với các đai ốc, thường được sử dụng để tạo ứng suất trước cho dầm bê tông cốt thép	73181990
	"Hỗn hợp ester của acrylic axit với pentaerythritol	"	38249999
	"Dây hàn bằng hợp kim thiếc, lõi có chất trợ dung, đường kính 0,8mm, dùng để hàn chảy, dạng cuộn	"	83113091
	"Dây hàn bằng hợp kim thiếc, lõi có chất trợ dung, đường kính 0,38mm, dùng để hàn chảy, dạng cuộn	"	83113091
	"Nhôm lá mỏng đã bồi, loại không cách nhiệt, dùng để cách âm chống ồn cho ô tô. Cấu tạo gồm lớp nhôm lá mỏng đã được sơn phủ, in hình, in chữ và gia công tạo rãnh caro hình vuông một mặt (dày 0.18mm, chiếm 9.24% khối lượng), một mặt được phủ lớp kết dính từ cao su (chiếm 86.14% khối lượng) và lớp giấy tráng phủ silicon bảo vệ lớp kết dính (chiếm 4.62% khối lượng). Mẫu dạng tấm có kích thước: chiều rộng ~ 600mm, chiều ngang ~ 900mm, dày ~ 2.2mm, được cuộn lại và đựng trong hộp giấy (1 tấm/hộp)	"	76072090
	"Nhôm không hợp kim, hàm lượng nhôm 99,5% tính theo trọng lượng, dạng tấm, chiều dày 1 mm, rộng 1000 mm, dài (3000 - 5000) mm, đã được gia công cán, ép tạo hình dạng lượn sóng, một mặt được dán màng plastic bảo vệ, chưa xử lý bề mặt	"	76061110
	Chế phẩm hóa học có thành phần chính là tinh bột và ure , dạng bột .	38249999
	Vải dệt thoi vân điểm thưa từ hai loại sợi được nhuộm màu đồng nhất có màu khác nhau , thành phần tính theo trọng lượng: 57,5% cotton  và 42,5% staple polyeste, chưa thấm tẩm , bề mặt chưa tráng phủ hay ép lớp với vật liệu khác, trọng lượng 192,5 g/m2, dạng cuộn khổ lớn hơn 1,2m	52104190
	Dây xe 2, thành phần 100% từ xơ đay, độ mảnh ≈ 766,2 tex.	53072000
	Tấm ốp (lát) bằng đá nhân tạo, thành phần gồm bột đá vôi và chất kết dính từ polyme, một mặt đã được sơn phủ tạo hoa văn, kích thước thực của mẫu: 145 x 245 x 2 (rộng x dài x dày)mm; kích thước của mẫu theo khai báo: 1220 x 2440 x 2 (rộng x dài x dày)mm.	68101910
	Tập hợp các đoạn monofilament polyeste, được bó thành dạng hình trụ tròn đường kính 6cm, bọc ngoài bằng giấy bìa carton, sau đó được cột cố định bó bằng sợi thun màu vàng. Khối lượng của bó bằng 135 gram. Mỗi monofilament trong bó có chiều dài từ 5,2 cm đến 5,7 cm, đường kính các monofilament từ 0,14mm đến 0,19mm, một đầu đã được chuốt mảnh, nhọn, dùng để sản xuất cọ (chổi) sơn	96039010
	"Tay vịn cầu thang, bề mặt đã chà nhám, dài 4500mm, làm từ gỗ cao su dạng thanh được ghép ngang từ các thanh đã ghép nối đầu.	"	44189990
	Chế phẩm thực phẩm, dạng bột, đóng gói bán lẻ (2,27kg/hộp), thành phần có chứa whey protein, hàm lượng protein tính theo Nitơ tổng ~ 76% tính theo trọng lượng ở thể khô, cacao > 5% trọng lượng đã khử toàn bộ chất béo (tính theo hàm lượng theobromin và cafein), bột cà phê đã khử cafein, hương liệu...	18069090
	Màng plastic từ poly(etylen terephtalat), không xốp và chưa được  gia cố, chưa gắn lớp mặt, chưa được bổ trợ hoặc chưa được kết hợp tương tự với các vật liệu khác, chiều rộng 152 cm, dày 0,059mm	39206290
	Tập hợp các đoạn monofilament polyeste, được bó thành dạng hình trụ tròn đường kính 6cm, bọc ngoài bằng giấy bìa carton, sau đó được cột cố định bó bằng sợi thun màu vàng. Khối lượng của bó bằng 140 gram. Mỗi monofilament trong bó có chiều dài từ 5,5 cm đến 6 cm, đường kính các monofilament từ 0,15mm đến 0,19mm, một đầu đã được chuốt mảnh, nhọn, dùng để sản xuất cọ (chổi) sơn.	96039010
	Chế phẩm chống cháy, thành phần gồm hỗn hợp ammonium sulphate, ammonium biphosphate, formaldehyde, dạng lỏng 	38249999
	Hỗn hợp hóa chất có chứa monoethanolamine và hợp chất amin khác..., dạng lỏng	38249999
	Ciprofibrate	29189900
	Giấy không tráng phủ, không phải giấy nhiều lớp, thành phần từ bột giấy đã tẩy trắng, có hàm lượng bột giấy thu được từ quá trình cơ học dưới 10% so với tổng lượng bột giấy tính theo trọng lượng. Mẫu dạng cuộn, khổ 1030mm, định lượng 42g/m2, hàm lượng tro 3,6%, độ trắng theo TCVN 1865-1:2010 là 81,2 (%ISO) dùng làm nguyên liệu sản xuất băng keo.	48025590
	"Chế phẩm hóa học có thành phần chính là bột talc trong nhựa, dạng hạt, hàm lượng bột talc>70% khối lượng.	"	38249999
	Chế phẩm hoạt động bề mặt cation, dạng lỏng.	34029019
	Chế phẩm hóa học có thành phần chính là rosin este, hợp chất chứa nito, 2-propanol và phụ gia, dạng lỏng	38249999
	Chế phẩm hóa học dùng trong xi mạ, thành phần chính chứa muối Benzenesulfonic, muối sulfate trong môi trường nước.	38249999
	"Bis(2,4-di-t-butylphenyl) pentaerythritol diphosphite.	"	29202900
	3 mẫu yêu cầu phân tích là Thép không hợp kim cán phẳng, dạng cuộn, cán nóng, chiều rộng lớn hơn 600mm, chưa tráng, phủ, mạ, chiều dày từ 1,6mm ÷ 2,6mm	72083990
	"Chế phẩm hóa học có thành phần chính gồm mercaptobenzothiazol và sáp polyetylen.	"	38249999
	"Chế phẩm hóa học có thành phần chính là hỗn hợp hợp chất amine và amide, dạng bột.	"	38249999
	"Silic dioxit đã được xử lý với Dichlorodimethyl silane, dạng bột..	"	38249999
	"Sáp nhân tạo từ fluorocarbon biến tính.	"	34049090
	"Chế phẩm hóa học có thành phần gồm mercaptobenzothiazol, polyacrylic và phụ gia	"	38249999
	"Mica đã được xử lý bề mặt với hợp chất hữu cơ, dạng bột.	"	38249999
	"Chế phẩm hóa học chứa hỗn hợp muối phosphat, muối sulphat...và phụ gia, dạng lỏng, dùng trong công nghiệp dệt.	"	38099190
	Hỗn hợp muối acetate và phụ gia	38249999
	"Silic dioxit đã được xử lý với dichlorodimethyl silane, dạng bột.	"	38249999
	"Chế phẩm hoá học có chứa amin bậc 1, phenol và phụ gia dạng lỏng	"	38249999
	"N-Nitroso-N-phenylhydroxylamine aluminum salt.	"	29280090
	"2-Hydroxy-4’-(2-hydroxyethoxy)-2-methylpropiophenone.	"	29145000
	"Ethyl 4-dimethylaminobenzoate.	"	29224900
	Chế phẩm thực phẩm, thành phần có chứa hỗn hợp Whey protein (Whey protein concentrate, whey protein Isolate), hàm lượng protein tính theo Nitơ tổng ~ 71% tính theo trọng lượng khô, đường, maltodextrin, hương vani, bột đậu nành, đường nhân tạo steviol glycosite... dạng bột, đóng gói 600g/hộp	19019039
	Chế phẩm thực phẩm có thành phần gồm hỗn hợp bột ngũ cốc (lúa mì, ngô, gạo nếp) giòn, đã tạo thành dạng mảnh vụn, được phủ socola trắng (không chứ  cacao), đã ép thành bánh dạng thanh hình chữ nhật 2 x 5 cm, đóng gói bán lẻ 400g/túi	19059090
	"Chế phẩm hóa học có thành phần chính gồm SiO2, Muscovite và phụ gia dạng bột	"	38249999
	"Chế phẩm hóa học có thành phần bao gồm hỗn hợp các ester của các axit béo	"	38249999
	"Chế phẩm chống oxi hóa dùng trong cao su	"	38123900
	"Sáp nhân tạo phân tán trong dung môi hữu cơ.	"	38249999
	"Chế phẩm hóa học chứa canxi cacbonat (hàm lượng lớn hơn 80% theo khối lượng) phân tán trong polyetylen, dạng hạt.	"	38249999
	"Hỗn hợp có thành phần chính gồm bột oxit silic, sợi thủy tinh (chiều dài 5 – 7mm).	"	38249999
	Kẹo đường dạng khối có trọng lượng dưới 2kg/khối, có chưa cacao và có nhân gelatin.	18063100
	Mẫu yêu cầu phân tích là Hỗn hợp sắt sunphat và nhôm sunphat, dạng bột lẫn cục nhỏ.	38249999
	Mẫu yêu cầu phân tích là chế phẩm hóa học có thành phần chính là hợp chất urea và phụ gia, dạng lỏng, được sử dụng trong hệ thống xử lý khí thải động cơ diesel	72107011
	Thép không hợp kim, hàm lượng C ≈ 0,0902% tính theo trọng lượng, dạng cuộn, có chiều dày 0,5mm, chiều rộng trên 600mm, được mạ nhôm kẽm bằng phương pháp nhúng nóng, sau đó được sơn 02 mặt	72107011
	Thuốc thú y chứa hoạt chất Flubendazole, tá dược, dạng bột, sử dụng đường uống , đóng gói 25 kg/bao	30039000
	Thép không hợp kim (hàm lượng carbon dưới 0.6%) tính theo trọng lượng, cán phẳng, ở dạng cuộn, có chiều rộng từ 600mm trở lên, kích cỡ chiều dày 0.45mm, đã được mạ kẽm sau đó được sơn cả 2 mặt.	72107011
	Chế phẩm làm sạch bề mặt kim loại, dạng lỏng.	38101000
	"Hỗn hợp gồm mật ong lên men (đường khử, gluconic,...), phenoxyethanol và nước, dùng làm nguyên liệu trong sản xuất mỹ phẩm	"	38249999
	"Chế phẩm hóa học có thành phần chính gồm SiO2, Muscovite và phụ gia dạng bột.	"	38249999
	"Chế phẩm chống cháy, thành phần gồm hỗn hợp ammonium sulfate, ammonium phosphate, silica, dạng bột	"	38130000
	"Ester của acrylic axit trong dung môi hữu cơ (xylene, ethylbenzene …)	"	38249999
	Bánh mì gồm các thành phần tinh bột, đường, đạm, chất béo, muối, hương liệu…được đóng gói trong túi nilon trọng lượng 515g/túi và 210g/túi để bán lẻ.	19059090
	"Tấm cách nhiệt có chiều dày ≈ 20mm, cấu tạo gồm 2 lớp bên ngoài là màng nhôm lá mỏng (chưa in hình, mỗi lớp nhôm dày 25 micron, hai lớp nhôm chiếm ≈ 8% tổng khối lượng) được gia cố bằng lớp vải dệt thoi, màu trắng và lớp vải không dệt, màu vàng đều đi từ sợi thủy tinh. Lớp trong cùng ở giữa là nhựa phenolic, xốp, màu vàng nhạt (chiếm ≈ 80% tổng khối lượng), kích thước mẫu theo khai báo: rộng 1200mm, dài 3930 mm	"	76072010
	"Nhôm hợp kim (hàm lượng tính theo trọng lượng nhôm 99,19%, magie 0,520%), mặt cắt ngang dạng hình rỗng đều nhau dọc theo chiều dài kích thước cao x rộng x dày: (75x60x0,76) mm, bề mặt ngoài có hoa văn màu vân gỗ, đã sơn phủ và có các lỗ vuông nhỏ kích thước (6x6)mm cách đều nhau 15 mm dọc theo chiều dài, thường dùng để thi công lắp đặt trần nhà	"	76042190
	Tương ớt có thành phần chính: bột ớt, tinh dầu ớt, muối, đường, dầu béo, tinh bột, gia vị tỏi, hạt tiêu...dạng lỏng sệt, màu đỏ, vị cay.	21039011
